Variable,tau=0.1,tau=0.15,tau=0.2,tau=0.25,tau=0.3,tau=0.35,tau=0.4,tau=0.45,tau=0.5,tau=0.55,tau=0.6,tau=0.65,tau=0.7,tau=0.75,tau=0.8,tau=0.85,tau=0.9
lns,0.18218837262755,0.178969900207547,0.194771883902167,0.141482147542194,0.141316354848535,0.118945545084572,0.103813381381389,0.0968570999448879,0.0778451939137587,0.0902304406891308,0.0975107494277479,0.090521916262476,0.0616894979653673,0.0531717640892504,0.0579868945235578,0.0505916345179624,0.0405728525599208
ess,0,0,0,0,0,0,0,0.00111138977726537,0.00496004799785282,0,0,0.0138522443608793,0.0121446670192433,0.0120904483455864,0,0.00705679920607997,0
gds,0.00223593856411315,0,0.0861373160263589,0.0658413838177392,0.0564789143750344,0.03650050598313,0.0502372991402854,0.0323750606059751,0.0741453255161677,0.0508893913036695,0.0520915330012731,0.0540687961155147,0.0123786530485591,0.0226551650155048,0,0,0
upsit,0,0,0,0.0033057867566782,0.0113975665604093,0.00758486749698379,0.00752976236472312,0.00742055409567392,0.00419341874924571,0.00485191176201538,0,-0.00305474585067669,-0.00258204214633602,-0.00197859560490926,-0.000170986842833273,-0.00224103199087028,-0.0043128176135045
stai,0,0,0,0,0,0,0.000344998757546704,0.000175613679409286,0.000150024439945729,0.00265490089865615,0,0.000273739640362307,0.00342140095682334,0,0.00116116908436826,0,0.00075066847493214
pigd,0,0,0,0,0,-0.190511633939858,0,0,-0.032102117419851,0,0,-0.150229776222673,0,0,0,0,0
quip,0,0,-0.0229597354304393,-0.0511970826356212,-0.0680765480359556,-0.0479237715794029,-0.0652269705361872,0,-0.128644251734842,-0.22330639656843,-0.103096941146118,-0.103498633265906,-0.00780006726200165,0,0,0,0
rem,0,0,0,0,0,0,0,0.0198186558720386,0.0418546440741475,0.032070070931923,0,-0.00558337851685557,-0.0103200339429266,-0.00249857383584122,0,0,0
scopa,0,0,0,-0.0028644712591715,-0.00476697153275404,0,0,0.00298469456921855,0.0173015955924827,0.0180228347987809,0,0.0108239440617377,0,0,0,0,0
updrs1_score,-0.0298826155134618,-0.0269692016868029,-0.0640093871966638,-0.0513385316414807,-0.0387020773300588,-0.0252412741488369,-0.0225120343626168,-0.0290369079023951,-0.0600361414114484,-0.0556678531547991,-0.0403033369744876,-0.0492109504150652,-0.0370632599984627,-0.0281910999122045,-0.0154125429589074,-0.0121535346385042,-0.00325805215220744
updrs2_score,0,0.00431451260535418,0.00896674326407524,0.0181411963001931,0,0,0,0,0,0.00103903408590909,0,0.000634116287305748,0,0,0,0,0
updrs3_score,0,0,0,-0.00692094838242287,0,-0.00112473798490081,-0.00795927810570723,-0.0072503704855923,-0.00569220807643308,-0.00685597909126063,0,-0.00318180241852208,-0.0026302582320933,-0.000225087719693562,0,0,0
MCI_testscores,-0.525355670860812,0,0,-0.0936947233631021,0,0,0,-0.010884627852071,-0.0560197502371793,-0.131050508199653,-0.252641738157158,-0.121119536377648,-0.00951137926934346,-0.0675137774531934,0,0,-0.0888887904588423
APOE_e4,0,0,0.0261463904709735,0,0.0357860610713255,0.154463679798186,0.149185056989944,0.0990337686253885,0.112160190804304,0.10391954002952,0.0374897579673035,0.0574639068212057,0.0282902338473907,0,0,0,0.00617054551102086
age,-0.00586144377401843,-0.0168399284353436,-0.0132803974635465,-0.014536275231196,-0.0162391153487851,-0.0211572383211676,-0.0128590637344761,-0.0156023611815126,-0.026931573624844,-0.0260701431435908,-0.0173869097224337,-0.0204171337586553,-0.0189330532670342,-0.0151108025952907,-0.00648135502623062,-0.00660607081542366,-0.00572650274945334
SEX,0,0,-0.00383247651873301,0,0,-0.00373199381976925,-0.0279646026257828,-0.012225139012603,-0.23999169697234,-0.157767417237081,-0.163412526250288,-0.183830607163915,-0.144788581413236,-0.0814355349931799,-0.0855876953405207,-0.039686669683844,0
fampd_bin,0.525121672263905,0.555719767801977,0.587130984324843,0.719633940437189,0.604366934715993,0.561900268134792,0.406513320023654,0.325073409569962,0.273923859052237,0.221223749906277,0.281971894087685,0.309096826767943,0.294985065845401,0.266422932198456,0.213686868687276,0.328089235172504,0.107254388554622
race_modified,1.24943694601276,0.88693195062121,0.41792368627827,0.0470581368121607,0.14383139375429,0.200519822597469,0.301773537842403,0.244321686047016,0.456636018806196,0.291063357615228,0.0847226651899375,0.0087720797290783,0.0939246912913513,0.0856075339754623,0.157381256014213,0.429674539541059,0.573462851776273
handed_right,0,0.143974651417551,0.0208447088859441,0.154068997000743,0.184134247146133,0.0657642838322884,0.112433131124853,0.0713034211528978,0.291971849610919,0.413498995337296,0.503794994412003,0.664776716180795,0.235353267993434,0.259869076698111,0.171747232220924,0.156887098856249,0.0839138490690019
